country,has_level_0_file,has_level_1_file,has_level_2_file,level_0_entities,level_1_entities,level_2_entities,complete_gaul_level_0_2_coverage
Tanzania,True,True,True,1,31,150,True
Thailand,True,True,True,1,77,928,True
Timor-Leste,True,True,True,1,13,65,True
Togo,True,True,True,1,5,39,True
Tokelau,True,False,False,1,0,0,False
Tonga,True,True,True,0,5,23,False
Trinidad and Tobago,False,False,False,0,0,0,False
Tunisia,True,True,True,1,24,279,True
Turkey,True,True,True,1,81,973,True
Turkmenistan,True,True,False,1,5,0,False
Turks and Caicos Islands,False,False,False,0,0,0,False
Tuvalu,True,True,False,1,9,0,False
Uganda,True,True,True,1,4,134,True
Ukraine,True,True,True,1,26,139,True
United Arab Emirates,False,False,False,0,0,0,False
United Kingdom,True,True,True,1,4,218,True
United States Minor Outlying Islands,False,False,False,0,0,0,False
United States of America,True,True,True,1,51,3144,True
Uruguay,True,True,False,1,19,0,False
Uzbekistan,True,True,True,1,14,198,True
Vanuatu,True,True,True,1,8,66,True
Venezuela,True,True,True,1,25,345,True
Viet Nam,True,True,True,1,63,708,True
Virgin Islands (British),False,False,False,0,0,0,False
Virgin Islands (U.S.),False,False,False,0,0,0,False
Wallis and Futuna,True,False,False,0,0,0,False
Western Sahara,False,False,False,0,0,0,False
Yemen,True,True,True,1,22,333,True
Zambia,True,True,True,1,10,116,True
Zimbabwe,True,True,True,1,10,62,True
