country,geometry_type,invalid_geometry_count,parsed_geometry_count,parse_error_count
Chile,ALL_TYPES,1,285541,0
Chile,LineString,0,108075,0
Chile,MultiPolygon,1,112832,0
Chile,Point,0,64598,0
Chile,Polygon,0,36,0
China,ALL_TYPES,0,2029095,0
China,LineString,0,872187,0
China,MultiPolygon,0,944286,0
China,Point,0,212287,0
China,Polygon,0,335,0
Colombia,ALL_TYPES,0,328330,0
Colombia,LineString,0,117051,0
Colombia,MultiPolygon,0,126057,0
Colombia,Point,0,84073,0
Colombia,Polygon,0,1149,0
Congo,ALL_TYPES,0,13552,0
Congo,LineString,0,5192,0
Congo,MultiPolygon,0,5804,0
Congo,Point,0,2454,0
Congo,Polygon,0,102,0
Cook Islands,ALL_TYPES,0,675,0
Cook Islands,LineString,0,214,0
Cook Islands,MultiPolygon,0,250,0
Cook Islands,Point,0,211,0
Costa Rica,ALL_TYPES,0,68606,0
Costa Rica,LineString,0,26780,0
Costa Rica,MultiPolygon,0,28570,0
Costa Rica,Point,0,13171,0
Costa Rica,Polygon,0,85,0
Cote d'Ivoire,ALL_TYPES,0,46759,0
Cote d'Ivoire,LineString,0,9378,0
Cote d'Ivoire,MultiPolygon,0,9807,0
Cote d'Ivoire,Point,0,27527,0
Cote d'Ivoire,Polygon,0,47,0
Croatia,ALL_TYPES,0,186291,0
Croatia,LineString,0,59428,0
Croatia,MultiPolygon,0,68711,0
Croatia,Point,0,58138,0
Croatia,Polygon,0,14,0
Cuba,ALL_TYPES,0,71706,0
Cuba,LineString,0,23932,0
Cuba,MultiPolygon,0,25233,0
Cuba,Point,0,22392,0
Cuba,Polygon,0,149,0
Cyprus,ALL_TYPES,0,48725,0
Cyprus,LineString,0,15025,0
Cyprus,MultiPolygon,0,16317,0
Cyprus,Point,0,17379,0
Cyprus,Polygon,0,4,0
Czech Republic,ALL_TYPES,0,910646,0
Czech Republic,LineString,0,295250,0
Czech Republic,MultiPolygon,0,321549,0
Czech Republic,Point,0,293755,0
Czech Republic,Polygon,0,92,0
Democratic People's Republic of Korea,ALL_TYPES,0,62232,0
Democratic People's Republic of Korea,LineString,0,29399,0
Democratic People's Republic of Korea,MultiPolygon,0,31043,0
Democratic People's Republic of Korea,Point,0,1624,0
Democratic People's Republic of Korea,Polygon,0,166,0
Democratic Republic of the Congo,ALL_TYPES,1,164936,0
Democratic Republic of the Congo,LineString,0,63033,0
Democratic Republic of the Congo,MultiPolygon,0,82005,0
Democratic Republic of the Congo,Point,0,19657,0
Democratic Republic of the Congo,Polygon,1,241,0
Denmark,ALL_TYPES,1,548739,0
Denmark,LineString,0,227781,0
Denmark,MultiPolygon,1,231736,0
Denmark,Point,0,89190,0
Denmark,Polygon,0,32,0
Djibouti,ALL_TYPES,0,1760,0
Djibouti,LineString,0,668,0
Djibouti,MultiPolygon,0,711,0
Djibouti,Point,0,376,0
Djibouti,Polygon,0,5,0
Ecuador,ALL_TYPES,0,141247,0
Ecuador,LineString,0,46083,0
Ecuador,MultiPolygon,0,47978,0
Ecuador,Point,0,46954,0
Ecuador,Polygon,0,232,0
Egypt,ALL_TYPES,0,44066,0
Egypt,LineString,0,13691,0
Egypt,MultiPolygon,0,13903,0
Egypt,Point,0,16472,0
El Salvador,ALL_TYPES,0,23965,0
El Salvador,LineString,0,8763,0
El Salvador,MultiPolygon,0,9856,0
El Salvador,Point,0,5295,0
El Salvador,Polygon,0,51,0
Equatorial Guinea,ALL_TYPES,0,2747,0
Equatorial Guinea,LineString,0,1116,0
Equatorial Guinea,MultiPolygon,0,1236,0
Equatorial Guinea,Point,0,365,0
Equatorial Guinea,Polygon,0,30,0
Eritrea,ALL_TYPES,0,49293,0
Eritrea,LineString,0,24372,0
Eritrea,MultiPolygon,0,24434,0
Eritrea,Point,0,487,0
Estonia,ALL_TYPES,0,254648,0
Estonia,LineString,0,106497,0
Estonia,MultiPolygon,0,112902,0
Estonia,Point,0,35191,0
Estonia,Polygon,0,58,0
Ethiopia,ALL_TYPES,0,75542,0
Ethiopia,LineString,0,31439,0
Ethiopia,MultiPolygon,0,32762,0
Ethiopia,Point,0,11242,0
Ethiopia,Polygon,0,99,0
Faroe Islands,ALL_TYPES,0,7110,0
Faroe Islands,LineString,0,3004,0
Faroe Islands,MultiPolygon,0,3161,0
Faroe Islands,Point,0,945,0
Fiji,ALL_TYPES,2,5933,0
Fiji,LineString,0,2117,0
Fiji,MultiPolygon,2,2266,0
Fiji,Point,0,1549,0
Fiji,Polygon,0,1,0
Finland,ALL_TYPES,0,1000098,0
Finland,LineString,0,437375,0
Finland,MultiPolygon,0,472487,0
Finland,Point,0,90225,0
Finland,Polygon,0,11,0
France,ALL_TYPES,0,5772166,0
France,LineString,0,2134731,0
France,MultiPolygon,0,2207722,0
France,Point,0,1429638,0
France,Polygon,0,75,0
French Polynesia,ALL_TYPES,0,11745,0
French Polynesia,LineString,0,5025,0
French Polynesia,MultiPolygon,0,5267,0
French Polynesia,Point,0,1452,0
French Polynesia,Polygon,0,1,0
Gabon,ALL_TYPES,0,24837,0
Gabon,LineString,0,10748,0
Gabon,MultiPolygon,0,11836,0
Gabon,Point,0,2253,0
Georgia,ALL_TYPES,0,112624,0
Georgia,LineString,0,35469,0
Georgia,MultiPolygon,0,39180,0
Georgia,Point,0,37889,0
Georgia,Polygon,0,86,0
Germany,ALL_TYPES,0,7248608,0
Germany,LineString,0,2373333,0
Germany,MultiPolygon,0,2419465,0
Germany,Point,0,2455432,0
Germany,Polygon,0,378,0
Ghana,ALL_TYPES,0,46110,0
Ghana,LineString,0,12359,0
Ghana,MultiPolygon,0,13012,0
Ghana,Point,0,20517,0
Ghana,Polygon,0,222,0
Greece,ALL_TYPES,0,312262,0
Greece,LineString,0,96422,0
Greece,MultiPolygon,0,102008,0
Greece,Point,0,113831,0
Greece,Polygon,0,1,0
Greenland,ALL_TYPES,0,40460,0
Greenland,LineString,0,18941,0
Greenland,MultiPolygon,0,20979,0
Greenland,Point,0,540,0
Guatemala,ALL_TYPES,0,44915,0
Guatemala,LineString,0,16541,0
Guatemala,MultiPolygon,0,17513,0
Guatemala,Point,0,10497,0
Guatemala,Polygon,0,364,0
Guernsey Jersey,ALL_TYPES,0,6679,0
Guernsey Jersey,LineString,0,2111,0
Guernsey Jersey,MultiPolygon,0,2236,0
Guernsey Jersey,Point,0,2321,0
Guernsey Jersey,Polygon,0,11,0
Guinea,ALL_TYPES,0,24494,0
Guinea,LineString,0,7645,0
Guinea,MultiPolygon,0,8438,0
Guinea,Point,0,8377,0
Guinea,Polygon,0,34,0
Guinea-Bissau,ALL_TYPES,0,2291,0
Guinea-Bissau,LineString,0,755,0
Guinea-Bissau,MultiPolygon,0,1223,0
Guinea-Bissau,Point,0,282,0
Guinea-Bissau,Polygon,0,31,0
Guyana,ALL_TYPES,0,12475,0
Guyana,LineString,0,5175,0
Guyana,MultiPolygon,0,5660,0
Guyana,Point,0,1640,0
Honduras,ALL_TYPES,0,29500,0
Honduras,LineString,0,12063,0
Honduras,MultiPolygon,0,13100,0
Honduras,Point,0,4043,0
Honduras,Polygon,0,294,0
Hungary,ALL_TYPES,2,364426,0
Hungary,LineString,0,97108,0
Hungary,MultiPolygon,0,108273,0
Hungary,Point,0,158831,0
Hungary,Polygon,2,214,0
Iceland,ALL_TYPES,1,97915,0
Iceland,LineString,0,42484,0
Iceland,MultiPolygon,0,46579,0
Iceland,Point,0,8832,0
Iceland,Polygon,1,20,0
India,ALL_TYPES,0,1422993,0
India,LineString,0,493256,0
India,MultiPolygon,0,586458,0
India,Point,0,342641,0
India,Polygon,0,638,0
Indonesia,ALL_TYPES,4,642034,0
Indonesia,LineString,0,240597,0
Indonesia,MultiPolygon,1,286269,0
Indonesia,Point,0,114893,0
Indonesia,Polygon,3,275,0
Iran,ALL_TYPES,0,227816,0
Iran,LineString,0,63060,0
Iran,MultiPolygon,0,74208,0
Iran,Point,0,90108,0
Iran,Polygon,0,440,0
