level_pair,parent_level,child_level,country_count,parent_count,child_count,parents_with_children,parents_without_children,parents_with_gaps,gap_piece_count
0-1,0,1,142,137,2356,124,13,13,132
1-2,1,2,142,2356,42104,2031,325,325,532
